stage	detail
start	base=f20fb65c3dce9801b0b4490eb68f3b0ba7906c56
download	2026-01-27-allotment-2026-01-13
captured	2026-01-27-allotment-2026-01-13 pages=4 bytes=113958
download	2026-04-14-allotment-2026-03-06
captured	2026-04-14-allotment-2026-03-06 pages=4 bytes=114203
download	2026-04-14-allotment-2026-04-02
captured	2026-04-14-allotment-2026-04-02 pages=4 bytes=115074
download	2026-07-15-allotment-2026-07-09
captured	2026-07-15-allotment-2026-07-09 pages=4 bytes=114215
validated	manifest-derived counts passed
